expression,reading,meaning,tags
困る,こまる,"to be bothered, to have difficulty",JLPT N5
これ,これ,this one,JLPT N5
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",JLPT N5
今月,こんげつ,this month,JLPT N5
今週,こんしゅう,this week,JLPT N5
こんな,こんな,"such, like this",JLPT N5
今晩,こんばん,"tonight, this evening",JLPT N5
さあ,さあ,"come now, well",JLPT N5
～歳,～さい,~ years old,JLPT N5
財布,さいふ,wallet,JLPT N5
魚,さかな,fish,JLPT N5
先,さき,"future; recent, previous",JLPT N5
咲く,さく,to bloom,JLPT N5
作文,さくぶん,essay; composition,JLPT N5
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",JLPT N5
～冊,～さつ,counter for books,JLPT N5
雑誌,ざっし,"magazine, journal",JLPT N5
砂糖,さとう,sugar,JLPT N5
寒い,さむい,cold (in reference to weather),JLPT N5
さ来年,さらいねん,year after next,JLPT N5
～さん,～さん,"Mr. ~, Ms. ~",JLPT N5
三,さん,three,JLPT N5
散歩,さんぽ (する),"walk, stroll",JLPT N5
四,し,four,JLPT N5
～時,～じ,~ o'clock (time),JLPT N5
塩,しお,salt,JLPT N5
しかし,しかし,however; but,JLPT N5
時間,じかん,time,JLPT N5
～時間,～じかん,~ hours,JLPT N5
仕事,しごと,"work, job, occupation, employment",JLPT N5
辞書,じしょ,dictionary,JLPT N5
静か,しずか,"quiet, calm",JLPT N5
下,した,"under, below, beneath",JLPT N5
七,しち,seven,JLPT N5
質問,しつもん,"question, inquiry",JLPT N5
自転車,じてんしゃ,bicycle,JLPT N5
自動車,じどうしゃ,automobile,JLPT N5
死ぬ,しぬ,to die,JLPT N5
字引,じびき,dictionary,JLPT N5
自分,じぶん,"myself, oneself",JLPT N5
閉まる,しまる,"to close, to be closed",JLPT N5
閉める,しめる,"to close, to shut",JLPT N5
締める,しめる,"to tie, to fasten, to tighten",JLPT N5
じゃ; じゃあ,じゃ; じゃあ,"well, well then",JLPT N5
写真,しゃしん,a picture; a photograph,JLPT N5
シャツ,シャツ,shirt,JLPT N5
シャワー,シャワー,shower,JLPT N5
十,じゅう,ten,JLPT N5
～中,～じゅう,"during, while",JLPT N5
～週間,～しゅうかん,~ weeks,JLPT N5
授業,じゅぎょう,a class (of school),JLPT N5
宿題,しゅくだい,homework,JLPT N5
上手,じょうず,"be good at, skillful",JLPT N5
丈夫,じょうぶ,"strong, solid, durable",JLPT N5
醤油,しょうゆ,soy sauce,JLPT N5
食堂,しょくどう,"cafeteria, dining hall",JLPT N5
知る,しる,"to know, to understand",JLPT N5
白,しろ,white,JLPT N5
白い,しろい,white,JLPT N5
～人,～じん,counter for people,JLPT N5
新聞,しんぶん,newspaper,JLPT N5
水曜日,すいようび,Wednesday,JLPT N5
吸う,すう,"to breathe in, to suck",JLPT N5
スカート,スカート,skirt,JLPT N5
好き,すき,"liking, fondness, love",JLPT N5
～すぎ,～すぎ,"past; to exceed, ~ too much",JLPT N5
少ない,すくない,a little; a few,JLPT N5
すぐに,すぐに,"immediately, soon",JLPT N5
少し,すこし,"little, few",JLPT N5
涼しい,すずしい,"cool, refreshing (in reference to weather)",JLPT N5
～ずつ,～ずつ,at a time,JLPT N5
ストーブ,ストーブ,heater (lit: stove),JLPT N5
スプーン,スプーン,spoon,JLPT N5
スポーツ,スポーツ,sport(s),JLPT N5
ズボン,ズボン,trousers,JLPT N5
住む,すむ,"to reside, to live in",JLPT N5
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",JLPT N5
座る,すわる,to sit,JLPT N5
背,せい,"(one's) height, stature",JLPT N5
生徒,せいと,student; pupil,JLPT N5
セーター,セーター,sweater,JLPT N5
石鹸,せっけん,soap,JLPT N5
背広,せびろ,men's suit,JLPT N5
狭い,せまい,narrow; not spacious,JLPT N5
ゼロ,ゼロ,zero,JLPT N5
千,せん,thousand,JLPT N5
先月,せんげつ,last month,JLPT N5
先週,せんしゅう,last week,JLPT N5
先生,せんせい,"teacher, professor; master; doctor",JLPT N5
洗濯,せんたく,"washing, laundry",JLPT N5
全部,ぜんぶ,"all, entire, whole",JLPT N5
そう; そうです,そう; そうです,"yes; appears, to be the case",JLPT N5
掃除,そうじ (する),"cleaning, sweeping",JLPT N5
そうして; そして,そうして; そして,"and, like that",JLPT N5
そこ,そこ,"that place, there; bottom, sole",JLPT N5
そちら,そちら,over there,JLPT N5
そっち,そっち,over there,JLPT N5
外,そと,"outside, exterior",JLPT N5
その,その,that,JLPT N5
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",JLPT N5
空,そら,sky,JLPT N5
それ,それ,that one,JLPT N5
それから,それから,"and then, after that",JLPT N5
それでは,それでは,"in that situation, well then...",JLPT N5
～台,～だい,counter for vehicles; machines,JLPT N5
大学,だいがく,college; university,JLPT N5
大使館,たいしかん,embassy,JLPT N5
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,JLPT N5
大好き,だいすき,"very like-able, like very much",JLPT N5
大切,たいせつ,important,JLPT N5
台所,だいどころ,kitchen,JLPT N5
大変,たいへん,"very; difficult, hard",JLPT N5
高い,たかい,"tall, high; expensive",JLPT N5
～だけ,～だけ,"only ~, just ~, as ~",JLPT N5
沢山,たくさん,"many, much",JLPT N5
タクシー,タクシー,taxi,JLPT N5
出す,だす,to take (something) out; to hand in (something),JLPT N5
～たち,～たち,plural suffix,JLPT N5
立つ,たつ,to stand up,JLPT N5
たて,たて,"length, height",JLPT N5
建物,たてもの,building,JLPT N5
楽しい,たのしい,"enjoyable, fun",JLPT N5
頼む,たのむ,"to request, to ask (a favor)",JLPT N5
たばこ,たばこ,"tobacco, cigarettes",JLPT N5
多分,たぶん,"perhaps, probably, maybe",JLPT N5
食べ物,たべもの,food,JLPT N5
食べる,たべる,to eat,JLPT N5
卵,たまご,egg,JLPT N5
誰,だれ,who,JLPT N5
誰か,だれか,someone,JLPT N5
誕生日,たんじょうび,birthday,JLPT N5
段々,だんだん,"gradually, by degrees",JLPT N5
小さい,ちいさい,"small, little",JLPT N5
小さな,ちいさな,"small, little",JLPT N5
近い,ちかい,"near, close by, short",JLPT N5
